Epochs,Stopped,Batchsize,Domain_neur_1,Domain_neur_2,Path_neur_1,Path_neur_2,Query_neur_1,Query_neur_2,Path_Query_neur,Learning_rate,Precision,Recall,F_score,Mathews,TP,FP,FN,TN
40,true,256,1024,512,1024,256,1024,256,512,0.005,0.771,0.828,0.8,0.746,11721,3486,2434,52359
40,true,128,1024,512,1024,512,1024,256,512,0.005,0.767,0.822,0.79,0.74,11671,3536,2529,52264
40,true,256,1024,512,1024,512,1024,256,1024,0.001,0.766,0.827,0.8,0.743,11651,3556,2430,52363
40,true,256,1024,512,1024,512,1024,256,512,0.005,0.765,0.832,0.8,0.745,11640,3567,2346,52447
40,true,64,1024,256,1024,512,1024,256,512,0.001,0.763,0.822,0.79,0.737,11601,3606,2513,52280
40,true,128,1024,256,1024,256,1024,512,1024,0.001,0.763,0.82,0.79,0.736,11605,3602,2541,52252
40,true,256,1024,256,1024,512,1024,512,512,0.005,0.762,0.832,0.8,0.743,11588,3619,2343,52450
40,true,64,1024,512,1024,256,1024,512,512,0.001,0.76,0.83,0.79,0.741,11563,3644,2371,52422
40,true,64,1024,256,1024,256,1024,256,512,0.001,0.753,0.826,0.79,0.733,11450,3751,2420,52379
40,true,128,1024,256,1024,512,1024,512,512,0.005,0.75,0.841,0.79,0.741,11401,3806,2163,52630
40,true,128,1024,256,1024,512,1024,256,1024,0.001,0.749,0.828,0.79,0.733,11391,3816,2361,52432
40,true,64,1024,256,1024,256,1024,512,512,0.005,0.748,0.83,0.79,0.733,11373,3834,2327,52466
40,true,256,1024,512,1024,256,1024,512,512,0.005,0.746,0.849,0.79,0.744,11341,3866,2021,52772
40,true,64,1024,512,1024,512,1024,512,512,0.005,0.744,0.84,0.79,0.737,11313,3894,2161,52632
40,true,64,1024,512,1024,512,1024,512,1024,0.001,0.74,0.794,0.77,0.705,11257,3950,2922,51871
40,true,256,1024,256,1024,256,1024,256,512,0.005,0.733,0.852,0.79,0.738,11143,4064,1937,52856
